a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w
"60104",6,"Bardame","* Exclusive Tournament prize","",1500,"","{}",1,631,"iap_badge_bardame.webp","iap_badge_bardame_preview.webp","iap_badge_bardame_54x54.webp","","","","","","",-1,0,"",""
"60164",6,"Cuffed","Partners in crime","",250,"","{}",0,1010,"iap_badge_cuffedheart.webp","iap_badge_cuffedheart_preview.webp","iap_badge_cuffedheart_54x54.webp","","","","","","",-1,0,"",""
"906",7,"Ariadne","For the inquisitive minds\, she finds the way","",1000,"","{}",0,824,"iap_banner_ariadne.webp","iap_banner_ariadne_asset.webp","","iap_banner_ariadne_asset.webp","","","","","",-1,0,"",""
"949",7,"Copihue","* Exclusive Tournament prize!","",2500,"","{}",1,646,"iap_banner_copihue.webp","iap_banner_copihue_asset.webp","","iap_banner_copihue_asset.webp","","","","","",-1,0,"",""
"2168",8,"Propeller Cue**","A propeller blade from a crashed plane (special sound fx)","",6000,"pool","{}",1,1581,"iap_game_pool_propeller_2.webp","iap_game_pool_propeller_preview_2.webp","","","","","","","",1168,0,"",""
"4092",8,"Flipper**","Waddling on the ice\, Flippers seem as awkward as can be","",4000,"crazy8","{}",1,781,"iap_game_crazy8_flipper.webp","iap_game_crazy8_flipper_preview.webp","","","","","","","",1092,0,"",""
"60073",6,"Tikal","* Exclusive Tournament prize","",2500,"","{}",1,543,"iap_badge_tikal.webp","iap_badge_tikal_preview.webp","iap_badge_tikal_54x54.webp","","","","","","",-1,0,"",""
"768",6,"Pot of Gold","* Exclusive St. Patrick's Tournament prize","",500,"","{}",1,259,"iap_badge_potofgold.webp","iap_badge_potofgold_preview.webp","iap_badge_potofgold_54x54.webp","","","","","","",-1,0,"",""
"935",7,"Treasure Island","This is no mirage","",500,"","{}",0,879,"iap_banner_treasureisland.webp","iap_banner_treasureisland_asset.webp","","iap_banner_treasureisland_asset.webp","","","","","",-1,0,"",""
"945",7,"Egyptian Pantheon*","Gather in good company","",2500,"","{}",1,622,"iap_banner_egypt.webp","iap_banner_egypt_anim.webp","","iap_banner_egypt_anim.webp","","","","","",-1,0,"",""
"20167",1,"Cybernetic Helmet**","Get the full look with this helmet and the lightcycle bubble","",3000,"","{}",1,1490,"iap_frame_tron.webp","iap_frame_tron_preview.webp","","iap_frame_tron_350x350.webp","","","","","",-1,0,"","over"
"859",7,"Neon Drive","Outrun the present to the future's past","",2500,"","{}",0,821,"iap_banner_neondrive.webp","iap_banner_neondrive_anim.webp","","iap_banner_neondrive_anim.webp","","","","","",-1,0,"",""
"60060",6,"Polly the Parrot","* Exclusive Tournament prize","",1000,"","{}",1,512,"iap_badge_parrot.webp","iap_badge_parrot_preview.webp","iap_badge_parrot_54x54.webp","","","","","","",-1,0,"",""
"60149",6,"Fortune Coin**","May good fortune follow you throughout the year","",500,"","{}",1,926,"iap_badge_fortune.webp","iap_badge_fortune_preview.webp","iap_badge_fortune_54x54.webp","","","","","","",-1,0,"",""
"758",6,"Turntable","* Exclusive Tournament prize","",1000,"","{}",1,163,"iap_badge_turntable.webp","iap_badge_turntable_preview.webp","iap_badge_turntable_54x54.webp","","","","","","",-1,0,"",""
"920",7,"Bonnie","* Exclusive Tournament prize","",1000,"","{}",1,207,"iap_banner_bonnie.webp","iap_banner_bonnie_asset.webp","","iap_banner_bonnie_asset.webp","","","","","",-1,0,"",""
"3006",8,"Giant Slayers","Exchange ranks before attacking","",2750,"legions","{}",0,534,"iap_game_legions_giantslayer.webp","iap_game_legions_giantslayer_preview.webp","","","","","","","",1006,0,"",""
"20061",1,"Sombrero","* Exclusive Cinco de Mayo Tournament prize","",1000,"","{}",1,243,"iap_frame_sombrero.webp","iap_frame_sombrero_preview.webp","","iap_frame_sombrero_350x350.webp","","","","","",-1,0,"","over"
"20021",1,"Pixel Glass","Level up your profile pic with these shades","",500,"","{}",0,370,"iap_frame_pixelglass.webp","iap_frame_pixelglass_preview.webp","","iap_frame_pixelglass_350x350_2.webp","","","","","",-1,0,"","over"
"20049",1,"Love Shades","* Exclusive Pool Tournament prize","",1000,"","{}",1,201,"iap_frame_loveshades.webp","iap_frame_loveshades_preview.webp","","iap_frame_loveshades_350x350.webp","","","","","",-1,0,"","over"
"20082",1,"Mayan Frame","* Exclusive Tournament prize","",5000,"","{}",1,544,"iap_frame_mayan.webp","iap_frame_mayan_preview.webp","","iap_frame_mayan_350x350.webp","","","","","",-1,0,"","over"
"60228",6,"Mushroom Badge**","Nature alone is antique\, and the oldest art a mushroom","",1000,"","{}",1,1385,"iap_badge_mushroom.webp","iap_badge_mushroom_preview.webp","iap_badge_mushroom_54x54.webp","","","","","","",-1,0,"",""
"4121",8,"Arcana Seer","* Exclusive Ocho Tournament Prize","",4000,"crazy8","{}",1,1107,"iap_game_crazy8_arcanaseer.webp","iap_game_crazy8_arcanaseer_preview.webp","","","","","","","",1121,0,"",""
"60209",6,"Plato 95 Sheep**","Where do sheep get their wool cut? At the baa-baa","",500,"","{}",1,1249,"iap_badge_platosheep.webp","iap_badge_platosheep_preview.webp","iap_badge_platosheep_54x54.webp","","","","","","",-1,0,"",""
"633",6,"Ayano*","Ayano (24) is an OL and her favorite food is oden","",1000,"","{}",1,128,"iap_badge_ayano.webp","iap_badge_ayano_preview.webp","iap_badge_ayano_54x54.webp","","","","","","",-1,0,"",""
"2512",8,"Cottage Table","There is always so much comfort\, so much elegance about cottages","",6000,"pool","{}",0,1368,"iap_game_pool_cottagecore.webp","iap_game_pool_cottagecore_preview.webp","","","","","","","",10012,0,"",""
"60126",6,"Tuk Tuk**","No traffic. No parking. No problem.","",500,"","{}",1,1330,"iap_badge_tuktuk.webp","iap_badge_tuktuk_preview.webp","iap_badge_tuktuk_54x54.webp","","","","","","",-1,0,"",""
"60243",6,"Jimmy Cricket**","Let your conscience be your guide ","",500,"","{}",1,1548,"iap_badge_jimmycricket.webp","iap_badge_jimmycricket_preview.webp","iap_badge_jimmycricket_54x54.webp","","","","","","",-1,0,"",""
"982",7,"Prosperity Tigers**","These lovely tigers will bring you prosperity all year long","",5000,"","{}",1,912,"iap_banner_cutetigers_2.webp","iap_banner_cutetigers_asset.webp","","iap_banner_cutetigers_asset.webp","","","","","",-1,0,"",""
"2091",8,"India Cue*","Satyameva Jayate (special sound fx)","",2500,"pool","{}",1,553,"iap_game_pool_india.webp","iap_game_pool_india_preview.webp","","","","","","","",1091,0,"",""
"2093",8,"Pencil","* Exclusive Pool Tournament prize!","",5000,"pool","{}",1,558,"iap_game_pool_pencil.webp","iap_game_pool_pencil_preview.webp","","","","","","","",1093,0,"",""
"4044",8,"Oranges*","Orange you glad I didn't say banana?","",1000,"crazy8","{}",1,37,"iap_game_crazy8_oranges.webp","iap_game_crazy8_oranges_preview.webp","","","","","","","",1044,0,"",""
"20191",1,"Atlantis Frame","What if the great city of Atlantis was real?","",1000,"","{}",0,1706,"iap_frame_atlantiscity.webp","iap_frame_atlantiscity_preview.webp","","iap_frame_atlantiscity_350x350.webp","","","","","",-1,1,"","over"
"726",6,"Santa 2020**","Santa says all of 2020 is on the naughty list this year 😢","",1000,"","{}",1,218,"iap_badge_santa2.webp","iap_badge_santa2_preview.webp","iap_badge_santa2_54x54.webp","","","","","","",-1,0,"",""
"727",6,"Santa's Sleigh**","Packed full of presents","",500,"","{}",1,216,"iap_badge_santasleigh.webp","iap_badge_santasleigh_preview.webp","iap_badge_santasleigh_54x54.webp","","","","","","",-1,0,"",""
"2075",8,"USA Cue*","Cut from George Washington's own cherry tree (special sound fx)","",5000,"pool","{}",1,480,"iap_game_pool_usa.webp","iap_game_pool_usa_preview.webp","","","","","","","",1075,0,"",""
"2121",8,"Cyber Rifle Cue","This bolt-action Cyber Rifle is designed to outperform the competition","",3000,"pool","{}",0,812,"iap_game_pool_matrixrifle_2.webp","iap_game_pool_matrixrifle_preview.webp","","","","","","","",1121,0,"",""
"736",6,"Blue Rose**","Not your normal rose","",2000,"","{}",1,953,"iap_badge_bluerose.webp","iap_badge_bluerose_preview.webp","iap_badge_bluerose_54x54.webp","","","","","","",-1,0,"",""
"4014",8,"Sweet Cream","Satisfy your sweet tooth in Ocho","",1500,"crazy8","{}",0,389,"iap_game_crazy8_sweetcream.webp","iap_game_crazy8_sweetcream_preview.webp","","","","","","","",1014,0,"",""
"20116",1,"Mandarin Orange**","A symbol of well wishes and prosperity","",3000,"","{}",1,907,"iap_frame_mandarin.webp","iap_frame_mandarin_preview.webp","","iap_frame_mandarin_350x350.webp","","","","","",-1,0,"","over"
"2022",8,"Skeleton","Feel bad to the bone with this Skeleton cue in Pool","",1000,"pool","{}",0,409,"iap_game_pool_skeleton.webp","iap_game_pool_skeleton_preview.webp","","","","","","","",1021,0,"",""
"20197",1,"Whales Frame","Swim with the largest animals to have ever lived on Earth","",1000,"","{}",0,1722,"iap_frame_whales.webp","iap_frame_whales_preview.webp","","iap_frame_whales_350x350.webp","","","","","",-1,1,"","over"
"20128",1,"Aquarius Frame","* Exclusive Tournament prize","",5000,"","{}",1,1098,"iap_frame_aquarius.webp","iap_frame_aquarius_preview.webp","","iap_frame_aquarius_350x350.webp","","","","","",-1,0,"","over"
"29027",7,"Share a Bone","* Exclusive Tournament Prize","",4000,"","{}",1,1211,"iap_banner_sharebone.webp","iap_banner_sharebone_asset.webp","","iap_banner_sharebone_asset.webp","","","","","",-1,0,"",""
"60120",6,"Mocha the Fox","She only drinks black coffee","",250,"","{}",0,1037,"iap_badge_mochafox.webp","iap_badge_mochafox_preview.webp","iap_badge_mochafox_54x54.webp","","","","","","",-1,0,"",""
"60142",6,"Trine","* Exclusive Tournament prize","",1000,"","{}",1,833,"iap_badge_trinity.webp","iap_badge_trinity_preview.webp","iap_badge_trinity_54x54.webp","","","","","","",-1,0,"",""
"29032",7,"Windle Plato 95**","Plato 95 is a nice milestone","",3000,"","{}",1,1246,"iap_banner_windloplato95.webp","iap_banner_windloplato95_asset.webp","","iap_banner_windloplato95_asset.webp","","","","","",-1,0,"",""
"60008",6,"Battle Mace","* Exclusive Tournament prize","",500,"","{}",1,77,"iap_badge_battlemace.webp","iap_badge_battlemace_preview.webp","iap_badge_battlemace_54x54.webp","","","","","","",-1,0,"",""
"771",6,"Golden Harp*","Stop and stare at the strings","",250,"","{}",1,233,"iap_badge_harp.webp","iap_badge_harp_preview.webp","iap_badge_harp_54x54.webp","","","","","","",-1,0,"",""
"975",7,"Room 101","A small\, one-room apartment within Cyberverse City","",2500,"","{}",0,836,"iap_banner_room101.webp","iap_banner_room101_asset.webp","","iap_banner_room101_asset.webp","","","","","",-1,0,"",""
"20129",1,"Libra Frame","* Exclusive Tournament prize","",5000,"","{}",1,1106,"iap_frame_libra.webp","iap_frame_libra_preview.webp","","iap_frame_libra_350x350.webp","","","","","",-1,0,"","over"
"20179",1,"Island Ruler","* Exclusive Stranded 2022 Prize!","",5000,"","{}",1,1634,"iap_frame_kingisland.webp","iap_frame_kingisland_preview.webp","","iap_frame_kingisland_350x350.webp","","","","","",-1,0,"","over"
"8049",8,"Coconut Ball**","This delicious nut is not a nut","",4000,"bowling","{}",1,1574,"iap_game_bowling_ball_coconut.webp","iap_game_bowling_ball_coconut_preview.webp","","","","","","","",1049,0,"",""
"19006",4,"Arcana Bubble","* Exclusive 2022 Lucky Sign Prize!","",10000,"","{}",1,1102,"iap_arcana_item.webp","iap_arcana_preview.webp","iap_arcana_item_54x54.webp","iap_arcana_asset_2.png","#ffffff","#f5deb2","#f3c161","#58bafe","",-1,0,"",""
"29028",7,"Bubble Bath","* Exclusive Tournament Prize","",4000,"","{}",1,1210,"iap_banner_bubblebath.webp","iap_banner_bubblebath_asset.webp","","iap_banner_bubblebath_asset.webp","","","","","",-1,0,"",""
"20095",1,"Flamenco*","De músico\, poeta y loco\, todos tenemos un poco","",2500,"","{}",1,650,"iap_frame_flamenco.webp","iap_frame_flamenco_preview.webp","","iap_frame_flamenco_350x350.webp","","","","","",-1,0,"","over"
"60055",6,"Treasure Map","X marks the spot","",1000,"","{}",0,846,"iap_badge_treasuremap.webp","iap_badge_treasuremap_preview.webp","iap_badge_treasuremap_54x54.webp","","","","","","",-1,0,"",""
"634",6,"Fumiko*","Fumiko (20) is a voice over actress and her favorite food is a parfait","",1000,"","{}",1,127,"iap_badge_fumiko.webp","iap_badge_fumiko_preview.webp","iap_badge_fumiko_54x54.webp","","","","","","",-1,0,"",""
"4018",8,"Cthulhu*","In his house at R'lyeh dead Cthulhu waits dreaming.","",1000,"crazy8","{}",1,148,"iap_game_crazy8_cthulhu.webp","iap_game_crazy8_cthulhu_preview.webp","","","","","","","",1018,0,"",""
"4033",8,"Jade Lanterns","Mind is bright\, clear of sound","",700,"crazy8","{}",0,885,"iap_game_crazy8_jadelanterns.webp","iap_game_crazy8_jadelanterns_preview.webp","","","","","","","",1033,0,"",""
"19040",4,"Xebes Zebes**","Xebes are a species of aliens that come from the planet Zebes","",7000,"","{}",1,1477,"iap_xebesworld_item.webp","iap_xebesworld_preview.webp","iap_xebesworld_item_54x54.webp","iap_xebesworld_asset_2.png","#f5cb7a","#a3d5ee","#df89fd","#a3d5ee","",-1,0,"",""
"815",7,"Sakura","Cherry blossoms... the metaphor of nature's impermanence","",500,"","{}",0,347,"iap_banner_sakura.webp","iap_banner_sakura_asset.webp","","iap_banner_sakura_asset.webp","","","","","",-1,0,"",""
"898",7,"Still Mountain*","Water glints and gleams in the moon\, grasses sigh and sing in the wind","",500,"","{}",1,238,"iap_banner_stillmountain.webp","iap_banner_stillmountain_asset.webp","","iap_banner_stillmountain_asset.webp","","","","","",-1,0,"",""
"19029",4,"English Cottage**","A palace cannot make you rich but a cottage in the woods can!","",5000,"","{}",1,1414,"iap_englishcottage_item.webp","iap_englishcottage_preview.webp","iap_englishcottage_item_54x54.webp","iap_englishcottage_asset.png","#550f00","#ffffff","#ffffff","#14985c","",-1,0,"",""
"20071",1,"Unicorn Frame*","Wear the rainbow","",3500,"","{}",1,452,"iap_frame_unicorn.webp","iap_frame_unicorn_preview.webp","","iap_frame_unicorn_350x350.webp","","","","","",-1,0,"","over"
"973",7,"Fireworks Show","* Exclusive Tournament prize","",8000,"","{}",1,858,"iap_banner_fireworks2022.webp","iap_banner_fireworks2022_anim.webp","","iap_banner_fireworks2022_anim.webp","","","","","",-1,0,"",""
"976",7,"Sentinel Overlord","* Exclusive Tournament prize","",3000,"","{}",1,830,"iap_banner_sentinel.webp","iap_banner_sentinel_asset.webp","","iap_banner_sentinel_asset.webp","","","","","",-1,0,"",""
"1508",8,"Red Tehran Stadium","Persian Week 2022: Table Soccer Match Winner Stadium","",3000,"tablesoccer","{}",0,1278,"iap_game_tablesoccer_redtehranstadium.webp","iap_game_tablesoccer_redtehranstadium_preview.webp","","","","","","","",10008,0,"",""
"60056",6,"Pirate Ship","Queen Anne's Revenge","",500,"","{}",0,844,"iap_badge_pirateship.webp","iap_badge_pirateship_preview.webp","iap_badge_pirateship_54x54.webp","","","","","","",-1,0,"",""
"521",10,"Ramadan Past Bundle*","Instantly unlocks 10 Ramadan items from 2021","",9875,"","{}",1,1372,"iap_bundle_ramadanpast_2.webp","iap_bundle_ramadanpast_preview.webp","","","","","","","",-1,0,"",""
"2074",8,"Caveman Club","* Exclusive Pool Tournament prize!","",5000,"pool","{}",1,468,"iap_game_pool_cavemanclub.webp","iap_game_pool_cavemanclub_preview.webp","","","","","","","",1074,0,"",""
"2104",8,"Greek Pillar","* Exclusive Pool Tournament prize!","",7500,"pool","{}",1,645,"iap_game_pool_greekpillar.webp","iap_game_pool_greekpillar_preview.webp","","","","","","","",1104,0,"",""
"60033",6,"Beach Fun","Supplies for a sandy time","",250,"","{}",0,1617,"iap_badge_beachfun.webp","iap_badge_beachfun_preview.webp","iap_badge_beachfun_54x54.webp","","","","","","",-1,0,"",""
"515",10,"Women's Day Past Bundle**","Instantly unlocks all 5 Women's Day items from 2021","",900,"","{}",1,1100,"iap_bundle_womensdaypast_profile.webp","iap_bundle_womensdaypast_profile_preview.webp","","","","","","","",-1,0,"",""
"2105",8,"Spain Cue*","Plus ultra (special sound fx)","",2500,"pool","{}",1,659,"iap_game_pool_spain.webp","iap_game_pool_spain_preview.webp","","","","","","","",1105,0,"",""
"3001",8,"Forsaken Sirens","Pulls cards to adjacent tiles","",2750,"legions","{}",0,521,"iap_game_legions_forsaken.webp","iap_game_legions_forsaken_preview.webp","","","","","","","",1001,0,"",""
"60194",6,"Cat Scan","Always silently judging you","",500,"","{}",0,1202,"iap_badge_catscan.webp","iap_badge_catscan_preview_2.webp","iap_badge_catscan_54x54.webp","","","","","","",-1,0,"",""
"19058",4,"Pool Party Bubble","* Exclusive Tournament Prize!","",5000,"","{}",1,1678,"iap_poolparty_item.webp","iap_poolparty_preview.webp","iap_poolparty_item_54x54.webp","iap_poolparty_asset.png","#ff5179","#5cae35","#5cae35","#ff9f16","",-1,0,"",""
"60229",6,"Saguaro Cactus","* Exclusive Tournament Prize","",1000,"","{}",1,1383,"iap_badge_saguarocactus.webp","iap_badge_saguarocactus_preview.webp","iap_badge_saguarocactus_54x54.webp","","","","","","",-1,0,"",""
"29034",7,"404 Desert","* Exclusive Tournament Prize","",3500,"","{}",1,1244,"iap_banner_404desert.webp","iap_banner_404desert_asset.webp","","iap_banner_404desert_asset.webp","","","","","",-1,0,"",""
"60249",6,"Felicia Badge","Felicia moved to L.A. recently to pursue her career in acting\, but she says dating apps haven't been very kind to her.

Dislikes: Yora","",500,"","{}",1,1601,"iap_badge_felicia.webp","iap_badge_felicia_preview.webp","iap_badge_felicia_54x54.webp","","","","","","",-1,0,"",""
"143",4,"Roger 8000","Meet Roger\, your friendly AI. He's here to serve man.","",5000,"","{}",0,313,"iap_ai_item.webp","iap_ai_preview.webp","iap_ai_item_54x54.webp","iap_ai_asset.png","#51F2E2","#FFFFFF","#FFC1C1","#51F2E2","",-1,0,"",""
"912",7,"Eggciting","The sunny side is always up","",500,"","{}",0,346,"iap_banner_eggciting.webp","iap_banner_eggciting_asset.webp","","iap_banner_eggciting_asset.webp","","","","","",-1,0,"",""
"20017",1,"Jester Hat*","Go ahead\, it's okay to be the fool","",500,"","{}",1,17,"iap_frame_jesterhat.webp","iap_frame_jesterhat_preview.webp","","iap_frame_jesterhat_350x350.webp","","","","","",-1,0,"","over"
"60030",6,"Chillin","For at least a few more seconds","",250,"","{}",0,1614,"iap_badge_chillin.webp","iap_badge_chillin_preview.webp","iap_badge_chillin_54x54.webp","","","","","","",-1,0,"",""
